team_id,team_url,team_name
1198,./?page=tym&tym_id=1198,​
1075,./?page=tym&tym_id=1075,?!?!!?
1530,./?page=tym&tym_id=1530,¿PORG qué?
1087,./?page=tym&tym_id=1087,"""All Stars"""
819,./?page=tym&tym_id=819,(Ne)Nováčci
1100,./?page=tym&tym_id=1100,*Kejsy X Theme*
783,./?page=tym&tym_id=783,#PetřeProsím
882,./?page=tym&tym_id=882,√1764
1528,./?page=tym&tym_id=1528,☆ pseudovědecký experiment ☆
1442,./?page=tym&tym_id=1442,♥HARDCORE míchaná krupiceΔ
22,./?page=tym&tym_id=22,1 Minute Talkers
1018,./?page=tym&tym_id=1018,12° osvěžení
558,./?page=tym&tym_id=558,13.333333
371,./?page=tym&tym_id=371,1620
1031,./?page=tym&tym_id=1031,1764¹ᐟ²
259,./?page=tym&tym_id=259,1st graders
786,./?page=tym&tym_id=786,2+1
1125,./?page=tym&tym_id=1125,2+1
620,./?page=tym&tym_id=620,2+KK
1471,./?page=tym&tym_id=1471,23% DPH
1101,./?page=tym&tym_id=1101,2Dumb2Win2Dumb2Quit
1243,./?page=tym&tym_id=1243,3 Zubři
1488,./?page=tym&tym_id=1488,30.Október
1014,./?page=tym&tym_id=1014,300 g zeleniny každý den
777,./?page=tym&tym_id=777,33
582,./?page=tym&tym_id=582,3D
164,./?page=tym&tym_id=164,3DH
232,./?page=tym&tym_id=232,3G
921,./?page=tym&tym_id=921,3G1D
107,./?page=tym&tym_id=107,3v1
159,./?page=tym&tym_id=159,3W
778,./?page=tym&tym_id=778,44
165,./?page=tym&tym_id=165,4DH
96,./?page=tym&tym_id=96,5.0
920,./?page=tym&tym_id=920,50 odstínů Dády Patrasové
863,./?page=tym&tym_id=863,50 shades of great
1337,./?page=tym&tym_id=1337,6 4 Life
771,./?page=tym&tym_id=771,66
776,./?page=tym&tym_id=776,77
779,./?page=tym&tym_id=779,88
1464,./?page=tym&tym_id=1464,9 mm argumentů
496,./?page=tym&tym_id=496,A
1048,./?page=tym&tym_id=1048,A clockwork orange
1577,./?page=tym&tym_id=1577,A komu tím prospějete?
367,./?page=tym&tym_id=367,Á Propos
710,./?page=tym&tym_id=710,A Team
941,./?page=tym&tym_id=941,A team*
235,./?page=tym&tym_id=235,A-Team
1225,./?page=tym&tym_id=1225,A1
1226,./?page=tym&tym_id=1226,A2
1227,./?page=tym&tym_id=1227,A3
1229,./?page=tym&tym_id=1229,A4
1228,./?page=tym&tym_id=1228,A5
493,./?page=tym&tym_id=493,AAA
735,./?page=tym&tym_id=735,Absolutní nuly
1280,./?page=tym&tym_id=1280,Abstinenti
264,./?page=tym&tym_id=264,Aces of Spades
144,./?page=tym&tym_id=144,Ad hoc Mix
278,./?page=tym&tym_id=278,Ad Hominem
570,./?page=tym&tym_id=570,AdDaPi
993,./?page=tym&tym_id=993,Adrian BAD
971,./?page=tym&tym_id=971,Affirmatives
958,./?page=tym&tym_id=958,Afirmace
156,./?page=tym&tym_id=156,Afroditi
1184,./?page=tym&tym_id=1184,ageckos
